Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.5,Report,Usage charge: step 3,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.6,Report,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.7,Report,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.12,Report,Special levies: water supply,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.13,Report,Income from special levies retained by the utility: water supply,yes/no,,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.3a,Report,Upper bound of usage: step 1,kL,,Not applicable,Not applicable,,Not applicable,,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.4a,Report,Upper bound of usage: step 2,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.5a,Report,Upper bound of usage: step 3,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.6a,Report,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P1.7a,Report,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Annual bill,P2,Report,Annual residential bill based on 200 kL per annum: water supply,$,,464,475.2,484.03,491.88,485.79,493.79,503.32,497.36,493.16,501.61,502.37,496.72,490.68,450.51,370.19,367.1,361.32,365.8,401.64,414.61,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Annual bill,P3,Report,Typical residential bill: water supply,$,,357.52,321.78,396.49,402.76,380.74,407.75,402.06,397.89,380.01,396.53,400.87,359.01,366.3,351.88,302.63,289.18,318.99,334.4,430.76,418.57,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P4,Report,Tariff structure: wastewater Definition,provided as text,,Fixed,Fixed & Usage,Fixed & Usage,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P4.1,Report,Fixed charge: wastewater,$,,910,958.96,979.23,995.11,994.59,971.2,948.19,936.49,922.36,893.14,871.12,847.58,826.77,810.91,790.02,791.25,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P4.2,Report,Usage charge: wastewater,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P4.3,Report,Special levies: wastewater,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Residential tariff structure,P4.4,Report,Income from special levies retained by the utility: wastewater,yes/no,,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Annual bill,P5,Report,Annual residential bill based on 200 kL per annum: wastewater,$,,910,958.96,979.23,995.11,994.59,971.2,948.19,936.49,922.36,893.14,871.12,847.58,826.77,810.91,790.02,791.25,795.2,801.64,819.34,847.32,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Annual bill,P6,Report,Typical residential bill: wastewater,$,,910,958.96,979.23,995.11,994.59,971.2,948.19,936.49,922.36,893.14,871.12,847.58,826.77,810.91,790.02,791.25,795.2,801.64,819.34,847.32,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Annual bill,P7,Derived,Total annual residential bill based on 200 kL per annum,$,,1374,1434,1463,1487,1480,1465,1452,1434,1416,1395,1373,1344,1317,1261,1160,1158,1157,1167,1221,1262,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Pricing,Annual bill,P8,Derived,Total typical residential bill,$,,1268,1281,1376,1398,1376,1378,1350,1334,1302,1290,1272,1207,1193,1163,1093,1080,1114,1136,1250,1266,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Sources,W1,Report,Volume of water sourced from surface water,ML,,14009,13935,13686,13954,14531,15249,14687,12687,13740,13963,14393,12277,14230,14724,14854,14140,14616,16182,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Sources,W2,Report,Volume of water sourced from groundwater,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Sources,W3.1,Report,Volume of water sourced from desalination of marine water,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W5,Derived,Total volume of water received from other service providers or operational areas within the urban water system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",89,78,103,121,110,127,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W5.3,Report,"Volume of water, excluding recycled water, received from other service providers or operational areas within the urban water supply system",ML,,89,78,103,121,110,127,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W6,Report,Volume of recycled water received from other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Sources,W7,Derived,Total volume of water sourced,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",15678,14197,14118,14300,14860,15589,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W8,Derived,Total volume of water supplied.to residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",6875,6736,7285,7221,6751,7167,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W8.3,Report,Volume of water supplied to residential customers,ML,,6875,6736,7285,7221,6751,7167,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W9,Derived,Total volume of water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",9071,8436,8939,10018,9986,10077,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W9.3,Report,Volume of water supplied to non-residential customers,ML,,7491,7301,7297,7800,7801,7788,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W10.1,Report,Volume of non-revenue water,ML,,1712,1974,1346,1738,1689,1564,2231,1586,1878,1280,1162,1038,1225,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Production,W11,Derived,Total volume of urban water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",15946,14101,14799,15222,14692,15154,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Production,W11.3,Report,Volume of potable water produced for supply into the urban water supply system,ML,,12680,12435,13158,13657,13208,13384,13053,12426,12065,11638,11695,10381,10325,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W12,Derived,Average volume of residential water supplied per property,KL/property,,143.2292,142,155,155,146,157,151,150.2,143,148,149,130,136,145,152.37,144,164,171,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W13,Report,Volume of water returned as environmental flows from outside of the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W14,Derived,Total volume of water exported to other service providers or operational areas within the urban water supply system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W14.3,Report,"Volume of water, excluding recycled water, exported to other service providers or operational areas within the urban water supply system",ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W15,Report,Volume of recycled water exported to other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Wastewater collected,W16,Report,"Volume of wastewater, excluding trade waste, collected",ML,,11973,14447,11766,8106,7984,7433,9016,9496,9195,8257,7361,8404,7682,6824,6277,7223,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Wastewater collected,W17,Report,Volume of trade waste collected,ML,,142,133,136,143,148,150,131,104,192,127,127,121,110,119,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Wastewater collected,W18,Derived,Total volume of wastewater collected,ML,,12115,14580,11902,8249,8132,7583,9147,9600,9387,8384,7488,8525,7792,6943,6507,7223,7069,6569,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W18.1,Report,Volume of wastewater exported to other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Transfers,W18.2,Report,Volume of wastewater received from other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Extraction for sewer mining,W18.3,Report,Volume of wastewater taken through sewer mining,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Inflow to plant,W18.4,Report,Volume of wastewater inflow to wastewater treatment plants,ML,,12114,14580,11902,8249,8132,7583,9147,9600,9387,8384,7488,8525,7792,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Wastewater collected,W19,Derived,Average volume of wastewater collected per property,KL/property,,275.3,335,277,194,194,165,213.7,227.7,224,200,182,209,192,171,165.1,188,191,176,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W21,Report,Volume of recycled water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",1580,1135,1642,2218,2185,2289,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W23,Report,Volume of recycled water supplied as environmental flows,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W25.1,Report,Volume of recycled water supplied to managed aquifer recharge,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W26,Derived,Total volume of recycled water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",1580,1135,1642,2218,2185,2289,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W27,Derived,Recycled water as a percentage of total wastewater collected,%,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",14.3,8,13.8,27,26.9,30.2,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W28.4,Report,Volume of urban stormwater supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W28.5,Report,Volume of urban stormwater supplied to non-residential customers,ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Outflow from plant,W30,Report,Volume of wastewater losses and spills,ML,,0,0,5,4,4,6,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W29,Report,Volume of treated wastewater disposals,ML,,9762,10384,8443,5196,4792,5001,7562,6991,6589,6191,5322,8200,6932,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W31,Report,Volume of water returned to surface water or groundwater from the urban water supply system,ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Outflow from plant,W18.5,Report,Volume of treated effluent outflow from wastewater treatment plants,ML,,11028,12225,10051,7538,7760,7446,9154,8543,8298,8543,7314,8522,7790,,,,,,,,
New South Wales - Country,"Large—50,000–100,000 connected properties",Shoalhaven City Council,Water Resources,Use,W20,Report,Volume of recycled water supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Water Treatment Plants,A1,Report,Number of water treatment plants providing full treatment,plants,,2,3,3,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Other Water Assets,A2,Report,Length of water mains,km,,248,219,315,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Other Water Assets,A3,Derived,Number of properties served per km of water main,properties/km,,40.7,42,36,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Wastewater assets,A4,Report,Number of wastewater treatment plants,plants,,8,8,8,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Wastewater assets,A5,Report,Length of sewer mains and channels,Km,,223,250,250,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Wastewater assets,A6,Derived,Number of properties served per km of sewer main,properties/km,,35.9,34,33,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Water Main Breaks,A8,Derived,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,16.1,No data,8.9,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Water Losses,A9,Report,Infrastructure leakage index (ILI),ratio,,No data,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Water Losses,A10,Report,Real losses: service connections,L/service connection/day,,No data,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Water Losses,A11,Report,Real losses: water mains,kL/km water main/day,,No data,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Wastewater breaks and chokes,A14,Report,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,219,13,6,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Wastewater breaks and chokes,A15,Report,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,1.9,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Assets,Water Main Breaks,IA8,Report,"Number of water main breaks, bursts, and leaks",mains breaks,,40,No data,28,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C1,Report,Population receiving services: water supply,population 000s,,22,18,16.1,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C2,Report,Number of connected residential properties: water supply,population 000s,,9,8,10.2,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C3,Report,Number of connected non-residential properties: water supply,population 000s,,1.1,0.984,1.2,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C4,Derived,Total number of connected properties: water supply,population 000s,,10.1,9,11.5,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C6,Report,Number of connected residential properties: wastewater,population 000s,,7,7,7.3,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C7,Report,Number of connected non-residential properties: wastewater,population 000s,,1,1,1,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connected Properties and Population,C8,Derived,Total number of connected properties: wastewater,population 000s,,8,8,8,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Water quality complaints,C9,Derived,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,No Data,5.5,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Water service complaints,C10,Derived,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,No Data,21.2,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Wastewater service complaints,C11,Derived,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,41.6,158.9,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Billing and account complaints,C12,Derived,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,No Data,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Total water and wastewater complaints,C13,Derived,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,32.97,171,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Connect time to a telephone operator,C14,Report,Percentage of calls answered by an operator within 30 seconds,%,,94,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Average duration of unplanned water supply interruptions,C15,Report,Average duration of an unplanned interruption: water supply,minutes,,120,120,120,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Water interruption frequency,C17,Derived,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,10.1,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Restrictions or legal action for non-payment of water bill,C18,Derived,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,0,0,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Restrictions or legal action for non-payment of water bill,C19,Derived,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,29,30,5,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Water service complaints,IC10,Report,Number of water service complaints.,complaints,,No data,196,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Wastewater service complaints,IC11,Report,Number of sewerage service complaints,complaints,,333,1336,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Billing and account complaints,IC12,Report,Number of billing and account complaints: water supply and sewerage,complaints,,No data,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Total water and wastewater complaints,IC13,Report,Number of water and sewerage complaints,complaints,,333,1583,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Water interruption frequency,IC17,Report,Number of unplanned interruptions: water supply,interruptions,,102,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Restrictions or legal action for non-payment of water bill,IC18,Report,Number of restrictions for non-payment of water bills,restrictions,,2,0,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Restrictions or legal action for non-payment of water bill,IC19,Report,Number of legal actions taken for non-payment of water bills,legal actions,,289,280,56,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Customers,Water quality complaints,IC9,Report,Number of water quality complaints: water supply,complaints,,No data,51,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Comparative wastewater treatment levels,E1,Derived,Percentage of wastewater only treated to a primary level,%,,0,0,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Comparative wastewater treatment levels,E2,Derived,Percentage of wastewater only treated to a secondary level,%,,0,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Comparative wastewater treatment levels,E3,Derived,Percentage of wastewater treated to a tertiary level,%,,No data,No data,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Biosolids reuse,E8,Report,Percentage of biosolids reused,%,,100,100,100,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,E9,Derived,"Net greenhouse gas emissions per 1,000 properties: water supply","t CO2 equivalents/1,000 properties",,142.1,141,6526,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,E10,Derived,"Net greenhouse gas emissions per 1,000 properties: wastewater","t CO2 equivalents/1,000 properties",,759.13,703,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,E11,Derived,"Net greenhouse gas emissions per 1,000 properties: other","t CO2 equivalents/1,000 properties",,1.09,19,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,E12,Derived,"Total net greenhouse gas emissions per 1,000 properties","t CO2 equivalents/1,000 properties",,734,1096,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Comparative wastewater treatment levels,IE1,Report,Volume of wastewater only treated to a primary level,ML,,0,0,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,IE10,Report,Net greenhouse gas emissions: wastewater,t CO2 equivalents,,6073,7451,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,IE11,Report,Net greenhouse gas emissions: other,t CO2 equivalents,,11,2933,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,IE12,Derived,Total net greenhouse gas emissions,ML,,7519,10155,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Comparative wastewater treatment levels,IE2,Report,Volume of wastewater only treated to a secondary level,ML,,0,222,22,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Comparative wastewater treatment levels,IE3,Report,Volume of wastewater treated to a tertiary level,ML,,1645,1947,1120,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Environment,Net greenhouse gas emissions,IE9,Report,Net greenhouse gas emissions: water supply,t CO2 equivalents,,1435,1221,74831,,,,,,,,,,,,,,,,,,
